+--------+--------+--------------+
|   user |   item |   prediction |
|--------+--------+--------------|
|      5 |    439 |       4.6    |
|      5 |    440 |       4.4    |
|      5 |    109 |       4.2239 |
|      5 |    211 |       4.0606 |
|      5 |    449 |       3.9714 |
|      5 |    117 |       3.8    |
|      5 |    441 |       3.7568 |
|      5 |     40 |       3.7    |
|      5 |    128 |       3.5669 |
|      5 |    215 |       3.434  |
|      5 |    448 |       3.4338 |
|      5 |    447 |       3.4099 |
|      5 |    110 |       3.3809 |
|      5 |    103 |       3.3377 |
|      5 |    125 |       3.3377 |
|      5 |     47 |       3.3    |
|      5 |    102 |       3.3    |
|      5 |    142 |       3.2    |
|      5 |    213 |       3.2    |
|      5 |    438 |       3.1938 |
|      5 |     55 |       3.179  |
|      5 |    104 |       3.15   |
|      5 |    177 |       2.9716 |
|      5 |    152 |       2.9646 |
|      5 |    204 |       2.9    |
|      5 |     57 |       2.8944 |
|      5 |    442 |       2.8514 |
|      5 |    437 |       2.7946 |
|      5 |    126 |       2.7333 |
|      5 |     74 |       2.7203 |
|      5 |     75 |       2.7203 |
|      5 |    452 |       2.7    |
|      5 |     68 |       2.6976 |
|      5 |     18 |       2.6891 |
|      5 |     27 |       2.6421 |
|      5 |    443 |       2.3844 |
|      5 |    436 |       2.3203 |
|      5 |    435 |       2.2761 |
|      5 |     58 |       2.1    |
|      5 |    446 |       1.9889 |
|      5 |     20 |       1.9    |
|      5 |     34 |       1.8    |
|      5 |    148 |       1.8    |
|      5 |    444 |       1.8    |
|      5 |    445 |       1.7    |
|      5 |    450 |       1.6348 |
|      5 |    451 |       1.6    |
+--------+--------+--------------+
