+--------+---------+
|   item |   count |
|--------+---------|
|    203 |     194 |
|    232 |     187 |
|    200 |     167 |
|    233 |     155 |
|    208 |     153 |
|    227 |     152 |
|    244 |     152 |
|    172 |     151 |
|    280 |     149 |
|    234 |     148 |
|    247 |     145 |
|    182 |     144 |
|    162 |     131 |
|    251 |     130 |
|    217 |     129 |
|    236 |     129 |
|    226 |     125 |
|    153 |     123 |
|    152 |     122 |
|    281 |     118 |
|    187 |     117 |
|    151 |     115 |
|    161 |     115 |
|    150 |     114 |
|    184 |     114 |
|    156 |     112 |
|    165 |     110 |
|    240 |     106 |
|    192 |     105 |
|    241 |     105 |
|    174 |     103 |
|    173 |     101 |
|    206 |     101 |
|    274 |     100 |
|    282 |      99 |
|    326 |      99 |
|    338 |      99 |
|    202 |      98 |
|    157 |      96 |
|    171 |      96 |
|    224 |      96 |
|    250 |      95 |
|    185 |      94 |
|    210 |      94 |
|    246 |      94 |
|    325 |      93 |
|    237 |      92 |
|    349 |      91 |
|    159 |      90 |
|    242 |      90 |
|    243 |      90 |
|    284 |      90 |
|    168 |      89 |
|    248 |      89 |
|    253 |      89 |
|    259 |      89 |
|    268 |      88 |
|    331 |      87 |
|    164 |      86 |
|    258 |      86 |
|    170 |      85 |
|    178 |      85 |
|    180 |      85 |
|    235 |      85 |
|    292 |      85 |
|    342 |      84 |
|    230 |      83 |
|    252 |      83 |
|    283 |      83 |
|    273 |      82 |
|    211 |      81 |
|    238 |      81 |
|    343 |      79 |
|    229 |      77 |
|    179 |      76 |
|    314 |      76 |
|    329 |      75 |
|    346 |      75 |
|    155 |      74 |
|    176 |      74 |
|    194 |      74 |
|    196 |      74 |
|    290 |      73 |
|    158 |      72 |
|    245 |      72 |
|    328 |      72 |
|    334 |      72 |
|    189 |      71 |
|    201 |      71 |
|    261 |      71 |
|    264 |      71 |
|    265 |      70 |
|    266 |      70 |
|    291 |      69 |
|    295 |      69 |
|    302 |      69 |
|    256 |      68 |
|    262 |      68 |
|    263 |      67 |
|    318 |      67 |
+--------+---------+
