+--------+--------------+
|   item |   prediction |
|--------+--------------|
|    316 |       0.8666 |
|    203 |       0.8634 |
|    307 |       0.8347 |
|    290 |       0.8321 |
|    310 |       0.8311 |
|    306 |       0.8268 |
|    295 |       0.8265 |
|    157 |       0.8244 |
|    292 |       0.8227 |
|    344 |       0.8163 |
|    291 |       0.8148 |
|    289 |       0.8112 |
|    296 |       0.8058 |
|    240 |       0.7999 |
|    156 |       0.7996 |
|    233 |       0.7992 |
|    207 |       0.798  |
|    280 |       0.7975 |
|    311 |       0.7974 |
|    283 |       0.7959 |
|    224 |       0.7936 |
|    318 |       0.7918 |
|    308 |       0.7883 |
|    234 |       0.7866 |
|    244 |       0.786  |
|    284 |       0.7855 |
|    232 |       0.7839 |
|    212 |       0.7838 |
|    251 |       0.7795 |
|    190 |       0.7776 |
|    243 |       0.7759 |
|    294 |       0.7727 |
|    268 |       0.7661 |
|    315 |       0.7651 |
|    229 |       0.762  |
|    158 |       0.7618 |
|    226 |       0.7579 |
|    252 |       0.7572 |
|    247 |       0.7508 |
|    274 |       0.7507 |
|    304 |       0.7494 |
|    216 |       0.7431 |
|    312 |       0.7411 |
|    313 |       0.7384 |
|    172 |       0.7378 |
|    338 |       0.7375 |
|    348 |       0.7365 |
|    222 |       0.7338 |
|    225 |       0.7338 |
|    210 |       0.7327 |
|    155 |       0.7316 |
|    236 |       0.7316 |
|    238 |       0.7311 |
|    305 |       0.7306 |
|    272 |       0.7304 |
|    230 |       0.7262 |
|    256 |       0.7253 |
|    185 |       0.7252 |
|    248 |       0.7243 |
|    349 |       0.7223 |
|    239 |       0.7217 |
|    263 |       0.7207 |
|    317 |       0.7204 |
|    298 |       0.7196 |
|    331 |       0.7194 |
|    227 |       0.7179 |
|    178 |       0.7171 |
|    235 |       0.7171 |
|    213 |       0.7156 |
|    200 |       0.7139 |
|    188 |       0.7122 |
|    301 |       0.7109 |
|    173 |       0.7088 |
|    217 |       0.7079 |
|    184 |       0.7077 |
|    221 |       0.7076 |
|    170 |       0.7065 |
|    211 |       0.7062 |
|    182 |       0.7057 |
|    335 |       0.7057 |
|    174 |       0.7039 |
|    241 |       0.7031 |
|    220 |       0.7008 |
|    161 |       0.7007 |
|    346 |       0.6999 |
|    293 |       0.6975 |
|    258 |       0.6974 |
|    255 |       0.6968 |
|    266 |       0.6958 |
|    320 |       0.6916 |
|    314 |       0.689  |
|    237 |       0.6871 |
|    192 |       0.6854 |
|    193 |       0.6842 |
|    332 |       0.6833 |
|    279 |       0.6825 |
|    261 |       0.6769 |
|    194 |       0.6758 |
|    250 |       0.6747 |
|    309 |       0.6743 |
+--------+--------------+
