+--------+--------+--------------+
|   user |   item |   prediction |
|--------+--------+--------------|
|      5 |    152 |       4.1948 |
|      5 |    440 |       4.1    |
|      5 |    102 |       4.0757 |
|      5 |    213 |       3.9161 |
|      5 |    449 |       3.9142 |
|      5 |    103 |       3.909  |
|      5 |    437 |       3.8583 |
|      5 |    444 |       3.8382 |
|      5 |    109 |       3.8109 |
|      5 |    439 |       3.78   |
|      5 |     40 |       3.753  |
|      5 |     74 |       3.7507 |
|      5 |    110 |       3.6994 |
|      5 |    128 |       3.6994 |
|      5 |    452 |       3.6994 |
|      5 |     57 |       3.6942 |
|      5 |    148 |       3.6942 |
|      5 |    215 |       3.6942 |
|      5 |    435 |       3.6942 |
|      5 |    104 |       3.6692 |
|      5 |     27 |       3.634  |
|      5 |     55 |       3.634  |
|      5 |     75 |       3.634  |
|      5 |     68 |       3.609  |
|      5 |    117 |       3.609  |
|      5 |    211 |       3.5948 |
|      5 |    445 |       3.5507 |
|      5 |     18 |       3.534  |
|      5 |     47 |       3.534  |
|      5 |     20 |       3.5142 |
|      5 |    125 |       3.4507 |
|      5 |    443 |       3.4411 |
|      5 |     34 |       3.4109 |
|      5 |    451 |       3.409  |
|      5 |    446 |       3.3994 |
|      5 |    126 |       3.3507 |
|      5 |    447 |       3.3392 |
|      5 |    142 |       3.3142 |
|      5 |    442 |       3.309  |
|      5 |    441 |       3.2161 |
|      5 |    436 |       3.1507 |
|      5 |    204 |       3.1142 |
|      5 |    438 |       3.053  |
|      5 |     58 |       2.9507 |
|      5 |    448 |       2.9142 |
|      5 |    177 |       2.8583 |
|      5 |    450 |       2.6757 |
+--------+--------+--------------+
